#  phi   psi
-79.6248 108.881
-90.2678 79.0554
-71.258 112.962
-71.4782 63.466
-55.2688 109.688
-67.5637 103.566
-77.7919 136.153
-88.4356 121.424
-63.8951 86.2025
-81.5 120.132
-71.9326 71.3069
-83.6772 83.3595
-101.611 84.9108
-86.8981 117.776
-94.4437 88.8906
-81.3072 83.5952
-95.3337 92.912
-65.06 97.7166
-97.8605 96.8195
-78.1148 93.8801
-71.2703 90.2044
-75.9236 75.5743
-74.5338 81.0985
-70.913 102.334
-81.2837 97.4143
-81.1819 90.0699
-91.9985 83.5179
-72.4911 96.9005
-82.0895 98.4035
-82.6319 86.7993
-83.9587 72.1477
-69.1956 114.417
-79.6227 93.9904
-64.958 84.8528
-80.6159 99.8502
-87.6191 94.0186
-86.247 99.6478
-90.2771 105.47
-90.0202 93.461
-103.7 108.375
-96.4951 98.1793
-90.8977 112.169
-77.8468 111.192
-70.285 79.3419
-68.8141 90.6672
-69.5793 78.5611
-75.9914 70.0137
-78.4273 86.9699
-63.18 70.928
-73.5105 72.438
-70.6049 86.7896
-75.8535 93.3364
-73.23 79.3818
-80.5038 93.2654
-67.879 80.9134
-74.161 85.5513
-82.6843 83.6233
-76.5155 79.7248
-65.3346 71.1996
-70.5795 74.341
-56.8074 86.274
-70.6506 86.6604
-79.4777 87.69
-76.2507 88.0391
-84.3104 86.7539
-77.8728 102.297
-75.9506 86.7117
-81.9279 83.7472
-65.5885 77.6493
-67.4831 90.1424
-52.0638 77.1002
-72.7381 75.0313
-76.832 76.8992
-69.4057 77.9144
-67.9333 82.404
-72.7019 64.8674
-82.772 69.9073
-72.8658 77.7589
-81.312 91.6222
-77.9439 89.2479
-72.0319 83.6631
-75.9182 84.1926
-74.0574 89.2556
-77.5671 93.1142
-72.8805 98.8728
-70.2088 77.3906
-78.0439 66.4304
-72.8384 95.7665
-79.6308 94.9372
-81.0726 94.2074
-68.0863 81.3985
-65.1331 64.1163
-72.9742 70.4615
-76.5501 106.837
-78.9421 62.3752
-88.4792 72.6389
-74.7573 74.2009
-83.3828 94.7512
-89.3864 87.9084
-84.2602 83.0505
-50.3633 74.6029
-70.3447 76.7626
-82.4534 76.2398
-80.0945 98.5401
-85.3036 100.095
-79.5178 70.4158
-63.5672 85.7824
-93.6328 70.2133
-73.8502 136.635
-87.7906 126.23
-59.5047 111.565
-77.311 99.8314
-78.693 77.4592
-76.3174 90.8022
-67.0226 98.4108
-69.8542 82.7265
-80.2353 98.8264
-68.5854 75.2522
-86.8221 109.154
-72.8891 110.073
-103.247 96.4906
-83.723 79.5866
-59.7745 99.2853
-62.9283 112.501
-62.7967 104.687
-66.4821 109.978
-62.0662 143.132
-66.6043 129.333
-63.2286 139.544
-53.3289 109.606
-65.1454 111.593
-69.7042 108.135
-72.635 118.198
-70.4301 86.2551
-76.4126 110.538
-85.0319 96.1616
-88.775 101.295
-59.6992 112.025
-61.4673 120.292
-79.4142 89.9004
-76.0334 85.2197
-67.9964 99.5607
-74.1455 105.513
-66.9526 102.182
-61.0629 110.65
-63.8228 118.705
-51.054 88.7404
-59.3795 102.017
-55.789 89.0685
-62.7407 92.5602
-56.8568 105.058
-70.9494 117.576
-53.8015 68.6491
-110.365 104.033
-72.4094 88.7206
-66.5355 97.9838
-67.8793 78.6733
-67.474 91.8527
-67.373 84.003
-72.1696 105.485
-72.4557 97.2466
-83.4348 100.353
-70.7832 93.2397
-65.6021 81.6359
-75.1887 86.0349
-106.996 78.1072
-93.5805 104.459
-73.6013 76.8812
-76.7979 103.803
-77.3473 126.241
-105.029 71.6802
-75.4111 123.433
-92.5722 109.002
-89.536 90.4895
-66.6223 101.432
-97.9782 103.261
-90.5156 132.505
-68.1111 126.849
-91.5761 101.609
-48.1042 128.602
-64.1133 102.638
-73.913 99.1366
-69.341 123.201
-53.2258 103.077
-67.2126 114.176
-63.1473 147.128
-58.5112 139.901
-55.9297 117.676
-51.6221 150.35
-69.1755 127.884
-59.8318 142.969
-56.3224 148.521
-48.9429 124.768
-71.9617 123.163
-49.917 117.411
-63.8506 104.639
-40.3111 105.563
-58.4329 144.608
-52.0014 97.2498
-58.8185 124.649
-68.9839 139.656
-71.7417 140.12
-73.9413 118.833
-70.9217 153.738
-55.5308 148.969
-84.1237 147.198
-84.7756 -171.688
-99.3411 156.527
-102.174 165.753
-70.5057 152.623
-75.0631 159.669
-110.531 146.353
-111.293 148.873
-82.7678 128.061
-72.0765 168.713
-99.165 144.162
-74.5349 158.302
-77.1088 138.838
-71.2083 144.841
-82.5702 133.883
-97.1124 126.017
-86.0008 112.899
-91.2958 167.469
-100.663 149.885
-73.6759 134.988
-88.9935 157.022
-117.513 138.727
-97.3394 159.122
-116.99 114.474
-108.545 141.693
-88.7859 160.859
-119.43 136.461
-112.796 120.024
-86.8714 154.653
-96.9059 131.438
-91.9364 144.594
-69.4745 128.972
-82.895 122.218
-76.5949 111.015
-65.51 92.3428
-64.7813 115.932
-58.5032 84.0703
-48.2321 126.711
-68.9195 139.887
-74.6656 137.845
-61.3454 102.29
-90.0761 93.2823
-71.5857 104.497
-67.019 109.396
-54.6865 138.706
-54.9092 136.755
-52.8218 116.682
-53.2967 122.761
-64.5578 132.406
-65.5952 145.417
-53.9002 100.239
-45.3226 94.4903
-62.5968 80.1269
-54.4113 77.9869
-72.6063 78.0248
-76.8718 72.6491
-61.9697 80.3148
-61.987 72.2793
-77.9619 68.7452
-70.3919 64.7809
-75.5678 75.6745
-55.5444 65.6701
-67.5593 81.365
-82.6226 84.5818
-90.9392 72.8377
-65.294 75.8854
-87.8643 82.3324
-77.2157 82.9784
-68.9981 89.4469
-65.3348 102.364
-62.2483 82.1749
-72.3355 71.0701
-101.851 94.1443
-85.6497 115.526
-86.0053 83.1847
-81.8106 116.433
-81.6045 123.114
-56.2136 115.643
-75.7226 110.913
-63.3595 132.564
-70.0604 107.01
-79.3046 119.857
-90.2069 110.115
-71.5209 102.225
-86.0449 118.833
-75.3189 102.596
-62.4835 99.6621
-80.3745 86.2175
-77.0818 62.5252
-62.8529 104.707
-94.4093 77.0743
-96.0144 81.0692
-89.1696 72.7139
-101.325 90.7821
